VALOR	TIPO	CLIENTE
9568	D	5
5784	D	10
48	D	10
478946	D	10
7156	D	10
4111	D	10
6456145	D	10
46545	D	10
47986465	D	6
478945	D	6
9568	D	6
5784	D	6
48	D	6
478946	D	1
7156	D	1
4111	C	1
4111	C	1
4111	C	1
4111	C	1
478651	C	1
4111	C	1
4111	C	1
4111	C	1
4111	C	2
787464	C	2
4111	C	2
4111	C	2
4111	C	2
8796541	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	7
4111	C	8
4111	C	9
4111	C	10
45646556	C	1
46545	C	2
47986465	C	3
45646556	D	4
46545	D	5
955444	D	6
478945	D	7
9568	D	8
5784	D	9
48	D	10
478946	D	1
7156	D	2
4111	D	3
9584	D	4
46545	D	5
4654	D	6
45646556	D	7
46545	D	8
9554	D	9
478945	D	10
9568	D	10
5784	D	10
48	C	3
478946	C	3
7156	C	3
4111	C	3
6456145	C	3
46545	C	3
47986465	C	3
478945	C	2
9568	C	9
5784	C	8
48	C	5
478946	C	7
7156	C	7
4111	C	7
4111	C	7
4111	D	7
4111	D	7
478651	D	7
4111	D	7	
4111	D	7
4111	D	7
4111	D	7
787464	D	7
4111	D	7
4111	D	7	
4111	D	7
8796541	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	2
4111	D	1
4111	D	3
45646556	D	3
46545	D	3
47986465	D	3
45646556	D	3
46545	D	4
955444	D	4
478945	D	4
5568	D	4
5784	D	4
48	D	4
478946	D	4
7156	D	4
4111	D	4
46545	D	5
955444	D	5
478945	D	5
9568	D	5
5784	D	5
48	D	5
478946	D	5
7156	C	5	
4111	C	5
46545	C	5	
47986465	C	5
478945	C	5
9568	C	6
5784	C	6
48	C	6
478946	C	6
7156	C	6
4111	C	5
9584	D	5
46545	D	5
4654	D	5
45646556	D	5
46545	D	5
9554	D	5
478945	D	5
9568	D	5
5784	D	10
48	D	10
478946	D	10
7156	D	10
4111	D	10
6456145	D	10
46545	D	10
47986465	D	6
478945	D	6
9568	D	6
5784	D	6
48	D	6
478946	D	1
7156	D	1
4111	C	1
4111	C	1
4111	C	1
4111	C	1
478651	C	1
4111	C	1
4111	C	1
4111	C	1
4111	C	2
787464	C	2
4111	C	2
4111	C	2
4111	C	2
8796541	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	7
4111	C	8
4111	C	9
4111	C	10
45646556	C	1
46545	C	2
47986465	C	3
45646556	D	4
46545	D	5
955444	D	6
478945	D	7
9568	D	8
5784	D	9
48	D	10
478946	D	1
7156	D	2
4111	D	3
9584	D	4
46545	D	5
4654	D	6
45646556	D	7
46545	D	8
9554	D	9
478945	D	10
9568	D	10
5784	D	10
48	C	3
478946	C	3
7156	C	3
4111	C	3
6456145	C	3
46545	C	3
47986465	C	3
478945	C	2
9568	C	9
5784	C	8
48	C	5
478946	C	7
7156	C	7
4111	C	7
4111	C	7
4111	D	7
4111	D	7
478651	D	7
4111	D	7	
4111	D	7
4111	D	7
4111	D	7
787464	D	7
4111	D	7
4111	D	7	
4111	D	7
8796541	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	2
4111	D	1
4111	D	3
45646556	D	3
46545	D	3
47986465	D	3
45646556	D	3
46545	D	4
955444	D	4
478945	D	4
5568	D	4
5784	D	4
48	D	4
478946	D	4
7156	D	4
4111	D	4
46545	D	5
955444	D	5
478945	D	5
9568	D	5
5784	D	5
48	D	5
478946	D	5
7156	C	5	
4111	C	5
46545	C	5	
47986465	C	5
478945	C	5
9568	C	6
5784	C	6
48	C	6
478946	C	6
7156	C	6
4111	C	5
9584	D	5
46545	D	5
4654	D	5
45646556	D	5
46545	D	5
9554	D	5
478945	D	5
9568	D	5
5784	D	10
48	D	10
478946	D	10
7156	D	10
4111	D	10
6456145	D	10
46545	D	10
47986465	D	6
478945	D	6
9568	D	6
5784	D	6
48	D	6
478946	D	1
7156	D	1
4111	C	1
4111	C	1
4111	C	1
4111	C	1
478651	C	1
4111	C	1
4111	C	1
4111	C	1
4111	C	2
787464	C	2
4111	C	2
4111	C	2
4111	C	2
8796541	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	7
4111	C	8
4111	C	9
4111	C	10
45646556	C	1
46545	C	2
47986465	C	3
45646556	D	4
46545	D	5
955444	D	6
478945	D	7
9568	D	8
5784	D	9
48	D	10
478946	D	1
7156	D	2
4111	D	3
9584	D	4
46545	D	5
4654	D	6
45646556	D	7
46545	D	8
9554	D	9
478945	D	10
9568	D	10
5784	D	10
48	C	3
478946	C	3
7156	C	3
4111	C	3
6456145	C	3
46545	C	3
47986465	C	3
478945	C	2
9568	C	9
5784	C	8
48	C	5
478946	C	7
7156	C	7
4111	C	7
4111	C	7
4111	D	7
4111	D	7
478651	D	7
4111	D	7	
4111	D	7
4111	D	7
4111	D	7
787464	D	7
4111	D	7
4111	D	7	
4111	D	7
8796541	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	2
4111	D	1
4111	D	3
45646556	D	3
46545	D	3
47986465	D	3
45646556	D	3
46545	D	4
955444	D	4
478945	D	4
5568	D	4
5784	D	4
48	D	4
478946	D	4
7156	D	4
4111	D	4
46545	D	5
955444	D	5
478945	D	5
9568	D	5
5784	D	5
48	D	5
478946	D	5
7156	C	5	
4111	C	5
46545	C	5	
47986465	C	5
478945	C	5
9568	C	6
5784	C	6
48	C	6
478946	C	6
7156	C	6
4111	C	5
9584	D	5
46545	D	5
4654	D	5
45646556	D	5
46545	D	5
9554	D	5
478945	D	5
9568	D	5
5784	D	10
48	D	10
478946	D	10
7156	D	10
4111	D	10
6456145	D	10
46545	D	10
47986465	D	6
478945	D	6
9568	D	6
5784	D	6
48	D	6
478946	D	1
7156	D	1
4111	C	1
4111	C	1
4111	C	1
4111	C	1
478651	C	1
4111	C	1
4111	C	1
4111	C	1
4111	C	2
787464	C	2
4111	C	2
4111	C	2
4111	C	2
8796541	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	7
4111	C	8
4111	C	9
4111	C	10
45646556	C	1
46545	C	2
47986465	C	3
45646556	D	4
46545	D	5
955444	D	6
478945	D	7
9568	D	8
5784	D	9
48	D	10
478946	D	1
7156	D	2
4111	D	3
9584	D	4
46545	D	5
4654	D	6
45646556	D	7
46545	D	8
9554	D	9
478945	D	10
9568	D	10
5784	D	10
48	C	3
478946	C	3
7156	C	3
4111	C	3
6456145	C	3
46545	C	3
47986465	C	3
478945	C	2
9568	C	9
5784	C	8
48	C	5
478946	C	7
7156	C	7
4111	C	7
4111	C	7
4111	D	7
4111	D	7
478651	D	7
4111	D	7	
4111	D	7
4111	D	7
4111	D	7
787464	D	7
4111	D	7
4111	D	7	
4111	D	7
8796541	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	2
4111	D	1
4111	D	3
45646556	D	3
46545	D	3
47986465	D	3
45646556	D	3
46545	D	4
955444	D	4
478945	D	4
5568	D	4
5784	D	4
48	D	4
478946	D	4
7156	D	4
4111	D	4
46545	D	5
955444	D	5
478945	D	5
9568	D	5
5784	D	5
48	D	5
478946	D	5
7156	C	5	
4111	C	5
46545	C	5	
47986465	C	5
478945	C	5
9568	C	6
5784	C	6
48	C	6
478946	C	6
7156	C	6
4111	C	5
9584	D	5
46545	D	5
4654	D	5
45646556	D	5
46545	D	5
9554	D	5
478945	D	5
9568	D	5
5784	D	10
48	D	10
478946	D	10
7156	D	10
4111	D	10
6456145	D	10
46545	D	10
47986465	D	6
478945	D	6
9568	D	6
5784	D	6
48	D	6
478946	D	1
7156	D	1
4111	C	1
4111	C	1
4111	C	1
4111	C	1
478651	C	1
4111	C	1
4111	C	1
4111	C	1
4111	C	2
787464	C	2
4111	C	2
4111	C	2
4111	C	2
8796541	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	7
4111	C	8
4111	C	9
4111	C	10
45646556	C	1
46545	C	2
47986465	C	3
45646556	D	4
46545	D	5
955444	D	6
478945	D	7
9568	D	8
5784	D	9
48	D	10
478946	D	1
7156	D	2
4111	D	3
9584	D	4
46545	D	5
4654	D	6
45646556	D	7
46545	D	8
9554	D	9
478945	D	10
9568	D	10
5784	D	10
48	C	3
478946	C	3
7156	C	3
4111	C	3
6456145	C	3
46545	C	3
47986465	C	3
478945	C	2
9568	C	9
5784	C	8
48	C	5
478946	C	7
7156	C	7
4111	C	7
4111	C	7
4111	D	7
4111	D	7
478651	D	7
4111	D	7	
4111	D	7
4111	D	7
4111	D	7
787464	D	7
4111	D	7
4111	D	7	
4111	D	7
8796541	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	2
4111	D	1
4111	D	3
45646556	D	3
46545	D	3
47986465	D	3
45646556	D	3
46545	D	4
955444	D	4
478945	D	4
5568	D	4
5784	D	4
48	D	4
478946	D	4
7156	D	4
4111	D	4
46545	D	5
955444	D	5
478945	D	5
9568	D	5
5784	D	5
48	D	5
478946	D	5
7156	C	5	
4111	C	5
46545	C	5	
47986465	C	5
478945	C	5
9568	C	6
5784	C	6
48	C	6
478946	C	6
7156	C	6
4111	C	5
9584	D	5
46545	D	5
4654	D	5
45646556	D	5
46545	D	5
9554	D	5
478945	D	5
9568	D	5
5784	D	10
48	D	10
478946	D	10
7156	D	10
4111	D	10
6456145	D	10
46545	D	10
47986465	D	6
478945	D	6
9568	D	6
5784	D	6
48	D	6
478946	D	1
7156	D	1
4111	C	1
4111	C	1
4111	C	1
4111	C	1
478651	C	1
4111	C	1
4111	C	1
4111	C	1
4111	C	2
787464	C	2
4111	C	2
4111	C	2
4111	C	2
8796541	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	2
4111	C	7
4111	C	8
4111	C	9
4111	C	10
45646556	C	1
46545	C	2
47986465	C	3
45646556	D	4
46545	D	5
955444	D	6
478945	D	7
9568	D	8
5784	D	9
48	D	10
478946	D	1
7156	D	2
4111	D	3
9584	D	4
46545	D	5
4654	D	6
45646556	D	7
46545	D	8
9554	D	9
478945	D	10
9568	D	10
5784	D	10
48	C	3
478946	C	3
7156	C	3
4111	C	3
6456145	C	3
46545	C	3
47986465	C	3
478945	C	2
9568	C	9
5784	C	8
48	C	5
478946	C	7
7156	C	7
4111	C	7
4111	C	7
4111	D	7
4111	D	7
478651	D	7
4111	D	7	
4111	D	7
4111	D	7
4111	D	7
787464	D	7
4111	D	7
4111	D	7	
4111	D	7
8796541	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	1
4111	D	2
4111	D	1
4111	D	3
45646556	D	3
46545	D	3
47986465	D	3
45646556	D	3
46545	D	4
955444	D	4
478945	D	4
5568	D	4
5784	D	4
48	D	4
478946	D	4
7156	D	4
4111	D	4
46545	D	5
955444	D	5
478945	D	5
9568	D	5
5784	D	5
48	D	5
478946	D	5
7156	C	5	
4111	C	5
46545	C	5	
47986465	C	5
478945	C	5
9568	C	6
5784	C	6
48	C	6
478946	C	6
7156	C	6
4111	C	5
